PKD;NAZWA_PKD;NUMER_NAZWA_PKD;WSKAZNIK;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OG;OGÓŁEM;OG OGÓŁEM ;EN Liczba jednostek gospodarczych ;46 396,00;47 048,00;48 165,00;53 148,00;53 837,00;53 220,00;54 189,00;54 587,00;56 432,00;56 628,00;55 092,00;56 630,00;53 484,00;53 282,00;53 340,00;52 401,00;51 577,00;53 067,00;54 654,00;55 521,00
OG;OGÓŁEM;OG OGÓŁEM ;PEN Liczba rentownych jednostek gospodarczych ;35 860,00;38 037,00;40 406,00;42 236,00;42 212,00;42 205,00;42 870,00;42 463,00;44 895,00;46 063,00;45 601,00;46 222,00;43 777,00;43 813,00;43 895,00;42 214,00;43 718,00;44 390,00;44 695,00;44 125,00
OG;OGÓŁEM;OG OGÓŁEM ;GS Przychody ogółem ;1 679 774,30;1 887 513,95;2 175 236,47;2 390 107,31;2 405 723,48;2 582 441,93;2 922 539,49;3 017 653,12;3 035 006,50;3 112 540,99;3 189 438,24;3 305 320,47;3 541 836,79;3 787 180,12;3 979 998,59;3 911 287,06;4 750 327,02;6 117 768,14;6 351 348,37;6 238 028,47
OG;OGÓŁEM;OG OGÓŁEM ;PNPM Przychody netto ;bd;1 800 524,49;2 069 741,36;2 275 283,14;2 285 113,75;2 462 658,11;2 767 060,70;2 866 889 040,00;2 901 070,66;2 973 790,39;3 058 897,72;3 164 190,75;3 388 663,51;3 635 351,26;3 831 021,11;3 753 990,60;4 531 666,61;5 846 114,05;6 099 586,53;5 988 464,75
OG;OGÓŁEM;OG OGÓŁEM ;GS (I) Przychody netto ze sprzedaży i zrównane z nimi ;1 614 314,24;1 818 552,67;2 093 564,43;2 301 248,65;2 300 467,59;2 488 948,97;2 800 280,73;2 898 345,90;2 927 990,88;3 001 543,92;3 085 526,16;3 191 434,94;3 419 906,13;3 673 292,12;3 868 160,65;3 779 952,08;4 582 059,03;5 911 857,94;6 112 151,56;6 012 376,90
OG;OGÓŁEM;OG OGÓŁEM ;Przych. fin. Przychody finansowe ;bd;bd;35 581,18;40 433,65;50 476,74;42 823,16;65 641,99;59 780,67;47 296,36;55 141,46;45 739,62;51 688,35;60 658,53;52 111,15;49 876,94;52 601,09;65 592,12;96 124,68;120 903,55;112 899,06
OG;OGÓŁEM;OG OGÓŁEM ;PPO Pozostałe przychody operacyjne ;bd;40 527,33;46 090,86;48 425,00;54 779,15;50 669,81;56 616,76;59 526,55;59 719,26;55 855,62;58 172,46;62 197,18;61 272,12;61 776,85;61 961,00;78 733,89;102 675,87;109 785,53;118 293,26;112 752,51
OG;OGÓŁEM;OG OGÓŁEM ;NP Wynik finansowy netto (zysk netto) ;63 823,24;80 951,53;109 679,75;76 826,83;97 170,88;111 963,00;113 370,45;107 630,05;110 801,19;115 979,51;99 476,42;132 489,38;153 611,12;143 435,08;139 061,43;136 128,77;257 676,00;297 244,35;253 932,29;227 243,76
OG;OGÓŁEM;OG OGÓŁEM ;OP Wynik na działalności operacyjnej ;82 328,77;102 808,97;128 694,23;124 423,54;121 380,05;134 393,28;153 629,95;127 910,48;138 331,79;147 087,75;140 508,43;169 755,95;176 275,06;181 919,41;182 184,63;190 642,14;297 481,16;381 812,24;334 704,53;291 467,37
OG;OGÓŁEM;OG OGÓŁEM ;POS Wynik na sprzedaży ;81 131,16;94 902,91;118 406,07;118 698,05;116 866,43;126 792,42;143 431,07;123 642,51;126 620,55;137 388,82;145 268,62;160 523,79;167 900,32;175 854,68;175 956,36;183 578,54;256 106,69;357 050,49;328 331,24;292 356,96
